Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 17:28:00.000 GMT+0100,06.01.2020 17:28:00,06.01.2020,17:28:00,289.778,289.798,289.728,289.798,1.137
06.01.2020 17:29:00.000 GMT+0100,06.01.2020 17:29:00,06.01.2020,17:29:00,289.797,289.848,289.647,289.648,0.7545
06.01.2020 17:30:00.000 GMT+0100,06.01.2020 17:30:00,06.01.2020,17:30:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:31:00.000 GMT+0100,06.01.2020 17:31:00,06.01.2020,17:31:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:32:00.000 GMT+0100,06.01.2020 17:32:00,06.01.2020,17:32:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:33:00.000 GMT+0100,06.01.2020 17:33:00,06.01.2020,17:33:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:34:00.000 GMT+0100,06.01.2020 17:34:00,06.01.2020,17:34:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:35:00.000 GMT+0100,06.01.2020 17:35:00,06.01.2020,17:35:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:36:00.000 GMT+0100,06.01.2020 17:36:00,06.01.2020,17:36:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:37:00.000 GMT+0100,06.01.2020 17:37:00,06.01.2020,17:37:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:38:00.000 GMT+0100,06.01.2020 17:38:00,06.01.2020,17:38:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:39:00.000 GMT+0100,06.01.2020 17:39:00,06.01.2020,17:39:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:40:00.000 GMT+0100,06.01.2020 17:40:00,06.01.2020,17:40:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:41:00.000 GMT+0100,06.01.2020 17:41:00,06.01.2020,17:41:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:42:00.000 GMT+0100,06.01.2020 17:42:00,06.01.2020,17:42:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:43:00.000 GMT+0100,06.01.2020 17:43:00,06.01.2020,17:43:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:44:00.000 GMT+0100,06.01.2020 17:44:00,06.01.2020,17:44:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:45:00.000 GMT+0100,06.01.2020 17:45:00,06.01.2020,17:45:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:46:00.000 GMT+0100,06.01.2020 17:46:00,06.01.2020,17:46:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:47:00.000 GMT+0100,06.01.2020 17:47:00,06.01.2020,17:47:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:48:00.000 GMT+0100,06.01.2020 17:48:00,06.01.2020,17:48:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:49:00.000 GMT+0100,06.01.2020 17:49:00,06.01.2020,17:49:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:50:00.000 GMT+0100,06.01.2020 17:50:00,06.01.2020,17:50:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:51:00.000 GMT+0100,06.01.2020 17:51:00,06.01.2020,17:51:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:52:00.000 GMT+0100,06.01.2020 17:52:00,06.01.2020,17:52:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:53:00.000 GMT+0100,06.01.2020 17:53:00,06.01.2020,17:53:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:54:00.000 GMT+0100,06.01.2020 17:54:00,06.01.2020,17:54:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:55:00.000 GMT+0100,06.01.2020 17:55:00,06.01.2020,17:55:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:56:00.000 GMT+0100,06.01.2020 17:56:00,06.01.2020,17:56:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:57:00.000 GMT+0100,06.01.2020 17:57:00,06.01.2020,17:57:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:58:00.000 GMT+0100,06.01.2020 17:58:00,06.01.2020,17:58:00,289.648,289.648,289.648,289.648,0
06.01.2020 17:59:00.000 GMT+0100,06.01.2020 17:59:00,06.01.2020,17:59:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:00:00.000 GMT+0100,06.01.2020 18:00:00,06.01.2020,18:00:00,289.648,289.648,289.648,289.648,0
06.01.2020 18:01:00.000 GMT+0100,06.01.2020 18:01:00,06.01.2020,18:01:00,289.648,289.648,289.648,289.648,0
