Local time,,Date,Time,Open,High,Low,Close,Volume
06.01.2020 21:04:00.000 GMT+0100,06.01.2020 21:04:00,06.01.2020,21:04:00,13151.8,13152.37,13150.17,13150.67,0.0214
06.01.2020 21:05:00.000 GMT+0100,06.01.2020 21:05:00,06.01.2020,21:05:00,13150.37,13150.7,13149.65,13150.3,0.0285
06.01.2020 21:06:00.000 GMT+0100,06.01.2020 21:06:00,06.01.2020,21:06:00,13150.66,13150.68,13149.65,13149.88,0.0179
06.01.2020 21:07:00.000 GMT+0100,06.01.2020 21:07:00,06.01.2020,21:07:00,13150.2,13151.3,13149.66,13150.65,0.0158
06.01.2020 21:08:00.000 GMT+0100,06.01.2020 21:08:00,06.01.2020,21:08:00,13150.88,13151.7,13150.88,13151.38,0.0204
06.01.2020 21:09:00.000 GMT+0100,06.01.2020 21:09:00,06.01.2020,21:09:00,13151.67,13151.69,13150.8,13151.18,0.0247
06.01.2020 21:10:00.000 GMT+0100,06.01.2020 21:10:00,06.01.2020,21:10:00,13150.9,13154.36,13150.15,13154.18,0.02
06.01.2020 21:11:00.000 GMT+0100,06.01.2020 21:11:00,06.01.2020,21:11:00,13154.37,13154.89,13153.19,13153.3,0.0338
06.01.2020 21:12:00.000 GMT+0100,06.01.2020 21:12:00,06.01.2020,21:12:00,13152.9,13153.8,13152.19,13153.17,0.0293
06.01.2020 21:13:00.000 GMT+0100,06.01.2020 21:13:00,06.01.2020,21:13:00,13153.5,13154.66,13153.2,13154.66,0.0128
06.01.2020 21:14:00.000 GMT+0100,06.01.2020 21:14:00,06.01.2020,21:14:00,13154.38,13156.19,13154.15,13155.68,0.0221
06.01.2020 21:15:00.000 GMT+0100,06.01.2020 21:15:00,06.01.2020,21:15:00,13156,13156.38,13154.68,13155.65,0.0323
06.01.2020 21:16:00.000 GMT+0100,06.01.2020 21:16:00,06.01.2020,21:16:00,13155.89,13156.18,13155.65,13155.8,0.0098
06.01.2020 21:17:00.000 GMT+0100,06.01.2020 21:17:00,06.01.2020,21:17:00,13155.88,13156.8,13155.65,13155.86,0.0254
